"Player","Team","Number","Position","Birthdate","College","Year"
"Cortez Kennedy","Seattle Seahawks","--","DT","1968-08-23","Miami","1998"
"Mike Mamula","Philadelphia Eagles","--","DE","1973-08-14","Boston College","1998"
"Grady Jackson","Oakland Raiders","--","DT","1973-01-21","Knoxville","1998"
"Kelvin Pritchett","Jacksonville Jaguars","--","DT","1969-10-24","Mississippi","1998"
"Chris Hewitt","New Orleans Saints","--","DB","1974-07-22","Cincinnati","1998"
"Priest Holmes","Baltimore Ravens","--","RB","1973-10-07","Texas","1998"
"Artie Smith","Dallas Cowboys","--","DT","1970-05-15","Louisiana Tech","1998"
"Tony Banks","Los Angeles Rams","--","QB","1973-04-05","Michigan State","1998"
"Charlie Jones","San Diego Chargers","--","WR","1972-12-01","Fresno State","1998"
"Jerry Crafts","Philadelphia Eagles","--","OT","1968-01-06","Louisville","1998"
"Vaughn Parker","San Diego Chargers","--","OT","1971-06-05","UCLA","1998"
"Anthony Simmons","Seattle Seahawks","--","LB","1976-06-20","Clemson","1998"
"Barry Sanders","Detroit Lions","--","RB","1968-07-16","Oklahoma State","1998"
"Vonnie Holliday","Green Bay Packers","--","DE","1975-12-11","North Carolina","1998"
"Mitch Lyons","Pittsburgh Steelers","--","TE","1970-05-13","Michigan State","1998"
"Brett Bech","New Orleans Saints","--","WR","1971-08-20","Louisiana State","1998"
"Dean Wells","Seattle Seahawks","--","LB","1970-07-20","Kentucky","1998"
"Mike Cherry","New York Giants","--","QB","1973-12-15","Murray State","1998"
"Rob Moore","Arizona Cardinals","--","WR","1968-09-27","Syracuse","1998"
"Sean Gilbert","Carolina Panthers","--","DT","1970-04-10","Pittsburgh","1998"
"Barron Tanner","Miami Dolphins","--","DT","1973-09-14","Oklahoma","1998"
"Aaron Glenn","New York Jets","--","DB","1972-07-16","Texas A&amp;M","1998"
"Freddie Scott","Indianapolis Colts","--","WR","1974-08-26","Penn State","1998"
"Chad Hennings","Dallas Cowboys","--","DT","1965-10-20","Air Force","1998"
"Matt Lepsis","Denver Broncos","--","OT","1974-01-13","Colorado","1998"
"Walt Harris","Chicago Bears","--","DB","1974-08-10","Mississippi State","1998"
"Olindo Mare","Miami Dolphins","--","K","1973-06-06","Syracuse","1998"
"Keith Elias","Indianapolis Colts","--","RB","1972-02-03","Princeton","1998"
"Robert Tate","Minnesota Vikings","--","DB","1973-10-19","Cincinnati","1998"
"Eric Swann","Arizona Cardinals","--","DE","1970-08-16","Wake Technical College","1998"
"Mark Collins","Seattle Seahawks","--","DB","1964-01-16","Cal State-Fullerton","1998"
"Steve Foley","Cincinnati Bengals","--","LB","1975-09-09","Northeast Louisiana","1998"
"Floyd Turner","Baltimore Ravens","--","WR","1966-05-29","Northwestern State","1998"
"Bob Christian","Atlanta Falcons","--","RB","1968-11-14","Northwestern","1998"
"Pat Williams","Buffalo Bills","--","DT","1972-10-24","Texas A&amp;M","1998"
"David Patten","New York Giants","--","WR","1974-08-19","Western Carolina","1998"
"Germane Crowell","Detroit Lions","--","WR","1976-09-13","Virginia","1998"
"Albert Lewis","Oakland Raiders","--","DB","1960-10-06","Grambling","1998"
"Donnie Abraham","Tampa Bay Buccaneers","--","DB","1973-10-08","East Tennessee State","1998"
"Dwight Hollier","Miami Dolphins","--","LB","1969-04-21","North Carolina","1998"
"Tim Ruddy","Miami Dolphins","--","C","1972-04-27","Notre Dame","1998"
"Derwin Gray","Carolina Panthers","--","DB","1971-04-09","Brigham Young","1998"
"Bryan Cox","New York Jets","--","LB","1968-02-17","Western Illinois","1998"
"Jermaine Lewis","Baltimore Ravens","--","WR","1974-10-16","Maryland","1998"
"Jammi German","Atlanta Falcons","--","WR","1974-07-04","Miami","1998"
"Lomas Brown","Arizona Cardinals","--","OT","1963-03-30","Florida","1998"
"Bernard Russ","New England Patriots","--","LB","1973-11-04","West Virginia","1998"
"Derrick Rodgers","Miami Dolphins","--","LB","1971-10-14","Arizona State","1998"
"Steve Walsh","Tampa Bay Buccaneers","--","QB","1966-12-01","Miami","1998"
"Kenny Mixon","Miami Dolphins","--","DE","1975-05-31","Louisiana State","1998"
"Juran Bolden","Green Bay Packers","--","DB","1974-06-27","Mississippi Delta","1998"
"Andre Royal","Indianapolis Colts","--","LB","1972-12-01","Alabama","1998"
"Bob Kuberski","Green Bay Packers","--","DT","1971-04-05","Navy","1998"
"Kevin Turner","Philadelphia Eagles","--","RB","1969-06-12","Alabama","1998"
"Ron Warner","New Orleans Saints","--","LB","1975-09-26","Kansas","1998"
"Lester Archambeau","Atlanta Falcons","--","DE","1967-06-27","Stanford","1998"
"James Jett","Oakland Raiders","--","WR","1970-12-28","West Virginia","1998"
"Troy Sienkiewicz","San Diego Chargers","--","OG","1972-05-27","New Mexico State","1998"
"Chris Calloway","New York Giants","--","WR","1968-03-29","Michigan","1998"
"Fred Miller","Los Angeles Rams","--","OT","1973-02-06","Baylor","1998"
"Erik Williams","Dallas Cowboys","--","OT","1968-09-07","Central State","1998"
"John Parrella","San Diego Chargers","--","DT","1969-11-22","Nebraska","1998"
"Ray Farmer","Philadelphia Eagles","--","LB","1972-07-01","Duke","1998"
"Patrick Jeffers","Dallas Cowboys","--","WR","1973-02-02","Virginia","1998"
"Eric Allen","Oakland Raiders","--","DB","1965-11-22","Arizona State","1998"
"Travis Jervey","Green Bay Packers","--","RB","1972-05-05","Citadel","1998"
"Charles Jordan","Miami Dolphins","--","WR","1969-10-09","Long Beach City College","1998"
"Marc Spindler","Detroit Lions","--","DT","1969-11-28","Pittsburgh","1998"
"Jay Graham","Baltimore Ravens","--","RB","1975-07-14","Tennessee","1998"
"Eddie Mason","Jacksonville Jaguars","--","LB","1972-01-09","North Carolina","1998"
"Terrell Davis","Denver Broncos","--","RB","1972-10-28","Georgia","1998"
"Todd Steussie","Minnesota Vikings","--","OT","1970-12-01","California","1998"
"Eric Brown","Denver Broncos","--","DB","1975-03-20","Mississippi State","1998"
"Tony Ramirez","Detroit Lions","--","OT","1973-01-26","Northern Colorado","1998"
"Jeff Criswell","Kansas City Chiefs","--","OT","1964-03-07","Graceland","1998"
"Don Sasa","Detroit Lions","--","DE","1972-09-16","Washington State","1998"
"Elvis Grbac","Kansas City Chiefs","--","QB","1970-08-13","Michigan","1998"
"David Palmer","Minnesota Vikings","--","RB","1972-11-19","Alabama","1998"
"Byron Chamberlain","Denver Broncos","--","TE","1971-10-17","Wayne State (NE)","1998"
"Darrell Russell","Oakland Raiders","--","DT","1976-05-27","Southern California","1998"
"Robert Hicks","Buffalo Bills","--","OT","1974-11-17","Mississippi State","1998"
"Keyshawn Johnson","New York Jets","--","WR","1972-07-22","Southern California","1998"
"Desmond Howard","Oakland Raiders","--","WR","1970-05-15","Michigan","1998"
"Derrick Ransom","Kansas City Chiefs","--","DT","1976-09-13","Cincinnati","1998"
"Fred Baxter","New York Jets","--","TE","1971-06-14","Auburn","1998"
"Clarence Jones","New Orleans Saints","--","OT","1968-05-06","Maryland","1998"
"Lewis Bush","San Diego Chargers","--","LB","1969-12-02","Washington State","1998"
"Ricky Siglar","Kansas City Chiefs","--","OT","1966-06-14","San Jose State","1998"
"Jeff Wilkins","Los Angeles Rams","--","K","1972-04-19","Youngstown State","1998"
"Dwayne Harper","San Diego Chargers","--","DB","1966-03-29","South Carolina State","1998"
"Phillip Daniels","Seattle Seahawks","--","DE","1973-03-04","Georgia","1998"
"Larry Whigham","New England Patriots","--","DB","1972-06-23","Northeast Louisiana","1998"
"Seth Joyner","Denver Broncos","--","LB","1964-11-18","Texas-El Paso","1998"
"Rodney Young","New York Giants","--","DB","1973-01-25","Louisiana State","1998"
"Sedrick Shaw","New England Patriots","--","RB","1973-11-16","Iowa","1998"
"Terrell Owens","San Francisco 49ers","--","WR","1973-12-07","Tennessee-Chattanooga","1998"
"Chris Jacke","Arizona Cardinals","--","K","1966-03-12","Texas-El Paso","1998"
"Marco Battaglia","Cincinnati Bengals","--","TE","1973-01-25","Rutgers","1998"
"Alex Van Pelt","Buffalo Bills","--","QB","1970-05-01","Pittsburgh","1998"
"Dan Owens","Detroit Lions","--","DT","1967-03-16","Southern California","1998"
"Rhett Hall","Philadelphia Eagles","--","DT","1968-12-05","California","1998"
"Ndukwe Kalu","Washington Redskins","--","DE","1975-08-03","Rice","1998"
"Darrien Gordon","Denver Broncos","--","DB","1970-11-14","Stanford","1998"
"Lional Dalton","Baltimore Ravens","--","DT","1975-02-21","Eastern Michigan","1998"
"Sam Gash","Buffalo Bills","--","RB","1969-03-07","Penn State","1998"
"Charles Way","New York Giants","--","RB","1972-12-27","Virginia","1998"
"Darrin Smith","Seattle Seahawks","--","LB","1970-04-15","Miami","1998"
"Gabe Wilkins","San Francisco 49ers","--","DE","1971-09-01","Gardner-Webb","1998"
"Eric Bjornson","Dallas Cowboys","--","TE","1971-12-15","Washington","1998"
"Wally Williams","Baltimore Ravens","--","OG","1971-02-19","Florida A&amp;M","1998"
"Steve Israel","New England Patriots","--","DB","1969-03-16","Pittsburgh","1998"
"Randall McDaniel","Minnesota Vikings","--","OG","1964-12-19","Arizona State","1998"
"Craig Powell","New York Jets","--","LB","1971-11-13","Ohio State","1998"
"Chad Cota","New Orleans Saints","--","DB","1971-08-13","Oregon","1998"
"Mike Dumas","San Diego Chargers","--","DB","1969-03-18","Indiana","1998"
"Michael Jackson","Baltimore Ravens","--","WR","1969-04-12","Southern Mississippi","1998"
"DeShone Myles","Seattle Seahawks","--","LB","1974-10-31","Nevada","1998"
"Jason Sehorn","New York Giants","--","DB","1971-04-15","Southern California","1998"
"Jeff Gooch","Tampa Bay Buccaneers","--","LB","1974-10-31","Austin Peay","1998"
"Mark Fischer","Washington Redskins","--","C","1974-07-29","Purdue","1998"
"J.B. Brown","Arizona Cardinals","--","DB","1967-01-05","Maryland","1998"
"Joe Horn","Kansas City Chiefs","--","WR","1972-01-16","Itawamba JC (MS)","1998"
"Kenard Lang","Washington Redskins","--","DE","1975-01-31","Miami","1998"
"Dwayne Gordon","New York Jets","--","LB","1969-11-02","New Hampshire","1998"
"John Browning","Kansas City Chiefs","--","DE","1973-09-30","West Virginia","1998"
"Terry Mickens","Oakland Raiders","--","WR","1971-02-21","Florida A&amp;M","1998"
"Rick Cunningham","Oakland Raiders","--","OG","1967-01-04","Texas A&amp;M","1998"
"Ruffin Hamilton","Atlanta Falcons","--","LB","1971-03-02","Tulane","1998"
"Anthony Pleasant","New York Jets","--","DE","1968-01-27","Tennessee State","1998"
"Jay Williams","Los Angeles Rams","--","DE","1971-10-13","Wake Forest","1998"
"Jeremy Brigham","Oakland Raiders","--","TE","1975-03-22","Washington","1998"
"Mark Maddox","Arizona Cardinals","--","LB","1968-03-23","Northern Michigan","1998"
"George Jamison","Detroit Lions","--","LB","1962-09-30","Cincinnati","1998"
"James Willis","Philadelphia Eagles","--","LB","1972-09-02","Auburn","1998"
"Roman Fortin","San Diego Chargers","--","C","1967-02-26","San Diego State","1998"
"Ashley Ambrose","Cincinnati Bengals","--","DB","1970-09-17","Mississippi Valley State","1998"
"Brad Daluiso","New York Giants","--","K","1967-12-31","UCLA","1998"
"Randy Kirk","San Francisco 49ers","--","LB","1964-12-27","San Diego State","1998"
"Shawn Jefferson","New England Patriots","--","WR","1969-02-22","Central Florida","1998"
"Damon Jones","Jacksonville Jaguars","--","TE","1974-09-18","Southern Illinois","1998"
"Michael Irvin","Dallas Cowboys","--","WR","1966-03-05","Miami","1998"
"Mike Gruttadauria","Los Angeles Rams","--","C","1972-12-06","Central Florida","1998"
"Tom Nutten","Los Angeles Rams","--","OG","1971-06-08","Western Michigan","1998"
"Marcellus Wiley","Buffalo Bills","--","DE","1974-11-30","Columbia","1998"
"Christian Peter","New York Giants","--","DT","1972-10-05","Nebraska","1998"
"Tony Graziani","Atlanta Falcons","--","QB","1973-12-23","Oregon","1998"
"Marquis Walker","Oakland Raiders","--","DB","1972-07-06","Southeast Missouri State","1998"
"Donovin Darius","Jacksonville Jaguars","--","DB","1975-08-12","Syracuse","1998"
"Reggie Roby","San Francisco 49ers","--","P","1961-07-30","Iowa","1998"
"Fred Lane","Carolina Panthers","--","RB","1975-09-06","Lane","1998"
"Bobby Engram","Chicago Bears","--","WR","1973-01-07","Penn State","1998"
"Dexter McCleon","Los Angeles Rams","--","DB","1973-10-09","Clemson","1998"
"Ted Johnson","New England Patriots","--","LB","1972-12-04","Colorado","1998"
"Kurt Warner","Los Angeles Rams","--","QB","1971-06-22","Northern Iowa","1998"
"Jeff Dellenbach","Green Bay Packers","--","OG","1963-02-14","Wisconsin","1998"
"Raymond Jackson","Buffalo Bills","--","DB","1973-02-17","Colorado State","1998"
"Doug Brien","New Orleans Saints","--","K","1970-11-24","California","1998"
"Randy Jordan","Oakland Raiders","--","RB","1970-06-06","North Carolina","1998"
"Ed Perry","Miami Dolphins","--","TE","1974-09-01","James Madison","1998"
"Stepfret Williams","Cincinnati Bengals","--","WR","1973-06-14","Northeast Louisiana","1998"
"Rob Burnett","Baltimore Ravens","--","DE","1967-08-27","Syracuse","1998"
"Kendyl Jacox","San Diego Chargers","--","C","1975-06-10","Kansas State","1998"
"Dwayne Carswell","Denver Broncos","--","TE","1972-01-18","Liberty","1998"
"Shawn Lee","Chicago Bears","--","DE","1966-10-24","North Alabama","1998"
"Glenn Parker","Kansas City Chiefs","--","OG","1966-04-22","Arizona","1998"
"Donta Jones","Pittsburgh Steelers","--","LB","1972-08-27","Nebraska","1998"
"Charlie Batch","Detroit Lions","--","QB","1974-12-05","Eastern Michigan","1998"
"Brian Griese","Denver Broncos","--","QB","1975-03-18","Michigan","1998"
"Derek Smith","Washington Redskins","--","LB","1975-01-18","Arizona State","1998"
"Reinard Wilson","Cincinnati Bengals","--","DE","1973-12-12","Florida State","1998"
"Scott Slutzker","New Orleans Saints","--","TE","1972-12-20","Iowa","1998"
"Victor Riley","Kansas City Chiefs","--","OT","1974-11-04","Auburn","1998"
"Barry Stokes","Miami Dolphins","--","OT","1973-12-20","Eastern Michigan","1998"
"Tony Hutson","Dallas Cowboys","--","OG","1974-03-13","Northeastern","1998"
"Jeff Brady","Carolina Panthers","--","LB","1968-11-09","Kentucky","1998"
"Eric Beverly","Detroit Lions","--","C","1974-03-28","Miami","1998"
"Detron Smith","Denver Broncos","--","RB","1974-02-25","Texas A&amp;M","1998"
"Jerry Wilson","Miami Dolphins","--","DB","1973-07-17","Southern","1998"
"Brad Badger","Washington Redskins","--","OG","1975-01-11","Stanford","1998"
"Damien Richardson","Carolina Panthers","--","DB","1976-04-03","Arizona State","1998"
"Chad Lewis","Philadelphia Eagles","--","TE","1971-10-05","Brigham Young","1998"
"Vernon Crawford","New England Patriots","--","LB","1974-06-25","Florida State","1998"
"Obafemi Ayanbadejo","Minnesota Vikings","--","RB","1975-03-05","San Diego State","1998"
"Mack Strong","Seattle Seahawks","--","RB","1971-09-11","Georgia","1998"
"Deon Figures","Jacksonville Jaguars","--","DB","1970-01-20","Colorado","1998"
"Itula Mili","Seattle Seahawks","--","TE","1973-04-20","Brigham Young","1998"
"Roosevelt Potts","Baltimore Ravens","--","RB","1971-01-08","Northeast Louisiana","1998"
"Richard Huntley","Pittsburgh Steelers","--","RB","1972-09-18","Winston-Salem State","1998"
"Chris Slade","New England Patriots","--","LB","1971-01-30","Virginia","1998"
"Brad Culpepper","Tampa Bay Buccaneers","--","DT","1969-05-08","Florida","1998"
"Mike Morton","Oakland Raiders","--","LB","1972-03-28","North Carolina","1998"
"Sean Harris","Chicago Bears","--","LB","1972-02-25","Arizona","1998"
"Marshall Faulk","Indianapolis Colts","--","RB","1973-02-26","San Diego State","1998"
"Cornelius Bennett","Atlanta Falcons","--","LB","1965-08-25","Alabama","1998"
"Irving Fryar","Philadelphia Eagles","--","WR","1962-09-28","Nebraska","1998"
"Ruben Brown","Buffalo Bills","--","OG","1972-02-13","Pittsburgh","1998"
"Henry Jones","Buffalo Bills","--","DB","1967-12-29","Illinois","1998"
"Anthony Redmon","Carolina Panthers","--","OG","1971-04-09","Auburn","1998"
"Matt Joyce","Arizona Cardinals","--","OG","1972-03-30","Richmond","1998"
"Chris Hayes","New York Jets","--","DB","1972-05-07","Washington State","1998"
"Randy Hilliard","Chicago Bears","--","DB","1967-02-06","Northwestern State","1998"
"Sean Moran","Buffalo Bills","--","DE","1973-06-05","Colorado State","1998"
"James Hundon","Cincinnati Bengals","--","WR","1971-04-09","Portland State","1998"
"Tim Morabito","Carolina Panthers","--","DT","1973-10-12","Boston College","1998"
"Scott Mitchell","Detroit Lions","--","QB","1968-01-02","Utah","1998"
"Andrew Glover","Minnesota Vikings","--","TE","1967-08-12","Grambling","1998"
"John Fina","Buffalo Bills","--","OT","1969-03-11","Arizona","1998"
"Greg Spires","New England Patriots","--","DE","1974-08-12","Florida State","1998"
"Darrius Johnson","Denver Broncos","--","DB","1973-05-18","Oklahoma","1998"
"Chris Fuamatu-Ma'afala","Pittsburgh Steelers","--","RB","1977-03-04","Utah","1998"
"Mike Wahle","Green Bay Packers","--","OT","1977-03-29","Navy","1998"
"Jerry Wunsch","Tampa Bay Buccaneers","--","OT","1974-01-21","Wisconsin","1998"
"Mike Scurlock","Los Angeles Rams","--","DB","1972-02-26","Arizona","1998"
"Marcus Buckley","New York Giants","--","LB","1971-02-03","Texas A&amp;M","1998"
"Hugh Douglas","Philadelphia Eagles","--","DE","1971-08-23","Central State","1998"
"Jamal Williams","San Diego Chargers","--","DT","1976-04-28","Oklahoma State","1998"
"Tom Barndt","Kansas City Chiefs","--","DT","1972-03-14","Pittsburgh","1998"
"Winfred Tubbs","San Francisco 49ers","--","LB","1970-09-24","Texas","1998"
"Karl Hankton","Philadelphia Eagles","--","WR","1970-07-24","Trinity (IL)","1998"
"Zefross Moss","New England Patriots","--","OT","1966-08-17","Alabama State","1998"
"Corwin Brown","New York Jets","--","DB","1970-04-25","Michigan","1998"
"John Hudson","New York Jets","--","OG","1968-01-29","Auburn","1998"
"Clyde Simmons","Cincinnati Bengals","--","DE","1964-08-04","Western Carolina","1998"
"Kim Herring","Baltimore Ravens","--","DB","1975-09-10","Penn State","1998"
"Phillippi Sparks","New York Giants","--","DB","1969-04-15","Arizona State","1998"
"Scott Gragg","New York Giants","--","OT","1972-02-28","Montana","1998"
"Keith Brooking","Atlanta Falcons","--","LB","1975-10-30","Georgia Tech","1998"
"Dan Turk","Washington Redskins","--","C","1962-06-25","Wisconsin","1998"
"Jared Tomich","New Orleans Saints","--","DE","1974-04-24","Nebraska","1998"
"Brandon Sanders","New York Giants","--","DB","1973-06-10","Arizona","1998"
"Rod Woodson","Baltimore Ravens","--","DB","1965-03-10","Purdue","1998"
"Tamarick Vanover","Kansas City Chiefs","--","WR","1974-02-25","Florida State","1998"
"David LaFleur","Dallas Cowboys","--","TE","1974-01-29","Louisiana State","1998"
"Marlo Perry","Buffalo Bills","--","LB","1972-08-25","Jackson State","1998"
"Dana Stubblefield","Washington Redskins","--","DT","1970-11-14","Kansas","1998"
"Regan Upshaw","Tampa Bay Buccaneers","--","DE","1975-08-12","California","1998"
"Emmitt Smith","Dallas Cowboys","--","RB","1969-05-15","Florida","1998"
"Andre Hastings","New Orleans Saints","--","WR","1970-11-07","Georgia","1998"
"Ray Mickens","New York Jets","--","DB","1973-01-04","Texas A&amp;M","1998"
"Mitch Berger","Minnesota Vikings","--","P","1972-06-24","Colorado","1998"
"Grant Williams","Seattle Seahawks","--","OT","1974-05-10","Louisiana Tech","1998"
"Deshea Townsend","Pittsburgh Steelers","--","DB","1975-09-08","Alabama","1998"
"Kimo von Oelhoffen","Cincinnati Bengals","--","DT","1971-01-30","Boise State","1998"
"Charles Dimry","San Diego Chargers","--","DB","1966-01-31","Nevada-Las Vegas","1998"
"Scott Blanton","Washington Redskins","--","K","1973-07-01","Oklahoma","1998"
"Paul Gruber","Tampa Bay Buccaneers","--","OT","1965-02-24","Wisconsin","1998"
"Marcus Pollard","Indianapolis Colts","--","TE","1972-02-08","Bradley","1998"
"John Avery","Miami Dolphins","--","RB","1976-01-11","Mississippi","1998"
"Abdul-Karim Al-Jabbar","Miami Dolphins","--","RB","1974-06-28","UCLA","1998"
"Ryan Stewart","Detroit Lions","--","DB","1975-09-30","Georgia Tech","1998"
"Toby Gowin","Dallas Cowboys","--","P","1975-03-30","North Texas","1998"
"Aaron Bailey","Indianapolis Colts","--","WR","1971-10-24","Louisville","1998"
"Raymond Austin","Chicago Bears","--","DB","1974-12-21","Tennessee","1998"
"Chris Walsh","Minnesota Vikings","--","WR","1968-12-12","Stanford","1998"
"Jeff Buckey","Miami Dolphins","--","OT","1974-08-07","Stanford","1998"
"Jeff Hartings","Detroit Lions","--","OG","1972-09-07","Penn State","1998"
"Justin Armour","Denver Broncos","--","WR","1973-01-01","Stanford","1998"
"James Thrash","Washington Redskins","--","WR","1975-04-28","Missouri Southern State","1998"
"Earl Dotson","Green Bay Packers","--","OT","1970-12-17","Texas A&amp;M-Kingsville","1998"
"Keith Mitchell","New Orleans Saints","--","LB","1974-07-24","Texas A&amp;M","1998"
"Darryl Pounds","Washington Redskins","--","DB","1972-07-21","Nicholls State","1998"
"Trace Armstrong","Miami Dolphins","--","DE","1965-10-05","Florida","1998"
"Mark Harris","San Francisco 49ers","--","WR","1970-04-28","Stanford","1998"
"Errict Rhett","Baltimore Ravens","--","RB","1970-12-11","Florida","1998"
"Luther Elliss","Detroit Lions","--","DT","1973-03-22","Utah","1998"
"Alfred Williams","Denver Broncos","--","DE","1968-11-06","Colorado","1998"
"Tommy Barnhardt","Tampa Bay Buccaneers","--","P","1963-06-11","North Carolina","1998"
"Christian Fauria","Seattle Seahawks","--","TE","1971-09-22","Colorado","1998"
"Bobby Hoying","Philadelphia Eagles","--","QB","1972-09-20","Ohio State","1998"
"Brent Smith","Miami Dolphins","--","OT","1973-11-21","Mississippi State","1998"
"Sherman Williams","Dallas Cowboys","--","RB","1973-08-13","Alabama","1998"
"Kyle Richardson","Baltimore Ravens","--","P","1973-03-02","Arkansas State","1998"
"John Carney","San Diego Chargers","--","K","1964-04-20","Notre Dame","1998"
"Damon Denson","New England Patriots","--","OG","1975-02-08","Michigan","1998"
"Jamie Duncan","Tampa Bay Buccaneers","--","LB","1975-07-20","Vanderbilt","1998"
"Brandon Mitchell","New England Patriots","--","DT","1975-06-19","Texas A&amp;M","1998"
"Trevor Pryce","Denver Broncos","--","DT","1975-08-03","Clemson","1998"
"Jerry Rice","San Francisco 49ers","--","WR","1962-10-13","Mississippi Valley State","1998"
"Tito Wooten","New York Giants","--","DB","1971-12-12","Northeast Louisiana","1998"
"Tito Paul","Denver Broncos","--","DB","1972-05-24","Ohio State","1998"
"Ron Carpenter","Los Angeles Rams","--","DB","1970-01-20","Miami (OH)","1998"
"Pat Swilling","Oakland Raiders","--","LB","1964-10-25","Georgia Tech","1998"
"Charlie Williams","Dallas Cowboys","--","DB","1972-02-02","Bowling Green","1998"
"Henry Thomas","New England Patriots","--","DT","1965-01-12","Louisiana State","1998"
"Damon Gibson","Cincinnati Bengals","--","WR","1975-02-25","Iowa","1998"
"Bernie Parmalee","Miami Dolphins","--","RB","1967-09-16","Ball State","1998"
"Jesse Campbell","Washington Redskins","--","DB","1969-04-11","North Carolina State","1998"
"Robert Brooks","Green Bay Packers","--","WR","1970-06-23","South Carolina","1998"
"Riddick Parker","Seattle Seahawks","--","DT","1972-11-20","North Carolina","1998"
"Sam Cowart","Buffalo Bills","--","LB","1975-02-26","Florida State","1998"
"Henri Crockett","Atlanta Falcons","--","LB","1974-10-28","Florida State","1998"
"Greg Truitt","Cincinnati Bengals","--","C","1965-12-08","Penn State","1998"
"Wayne Chrebet","New York Jets","--","WR","1973-08-14","Hofstra","1998"
"Earl Little","New Orleans Saints","--","DB","1973-03-10","Miami","1998"
"Jeff Novak","Jacksonville Jaguars","--","OG","1967-07-27","Texas State","1998"
"Ernie Logan","New York Jets","--","DT","1968-05-18","East Carolina","1998"
"John Mobley","Denver Broncos","--","LB","1973-10-10","Kutztown","1998"
"Adam Treu","Oakland Raiders","--","C","1974-06-24","Nebraska","1998"
"Kwamie Lassiter","Arizona Cardinals","--","DB","1969-12-03","Kansas","1998"
"Joel Smeenge","Jacksonville Jaguars","--","DE","1968-04-01","Western Michigan","1998"
"Jerome Henderson","New York Jets","--","DB","1969-08-08","Clemson","1998"
"Jay Bellamy","Seattle Seahawks","--","DB","1972-07-08","Rutgers","1998"
"Lee Woodall","San Francisco 49ers","--","LB","1969-10-31","West Chester","1998"
"Greg Jeffries","Detroit Lions","--","DB","1971-10-16","Virginia","1998"
